"GeneID","ensembl_clean","Module","MM","GS_Tumor","gene_name","gene_type"
"ENSG00000157064.11","ENSG00000157064","turquoise",-0.200432834968203,-0.181354458833857,"NMNAT2","protein_coding"
"ENSG00000078589.13","ENSG00000078589","blue",-0.512584543910684,-0.348774604354595,"P2RY10","protein_coding"
"ENSG00000180644.8","ENSG00000180644","blue",-0.156365461051932,-0.154508621652094,"PRF1","protein_coding"
"ENSG00000140379.9","ENSG00000140379","blue",-0.0905517298428415,0.0641036789996581,"BCL2A1","protein_coding"
"ENSG00000120457.12","ENSG00000120457","blue",-0.299509718537338,-0.241538231515267,"KCNJ5","protein_coding"
"ENSG00000143119.14","ENSG00000143119","blue",-0.366913232798049,-0.246707650507866,"CD53","protein_coding"
"ENSG00000164588.8","ENSG00000164588","grey",0.177658264129719,0.118149165088162,"HCN1","protein_coding"
"ENSG00000275302.2","ENSG00000275302","blue",-0.0424461034719626,0.0834715319138964,"CCL4","protein_coding"
"ENSG00000198729.5","ENSG00000198729","lightyellow",-0.166060406042388,-0.194245984400638,"PPP1R14C","protein_coding"
"ENSG00000150625.16","ENSG00000150625","turquoise",-0.532390488368853,-0.573752840285685,"GPM6A","protein_coding"
"ENSG00000152583.12","ENSG00000152583","turquoise",-0.470560577200551,-0.461908383906976,"SPARCL1","protein_coding"
"ENSG00000274536.7","ENSG00000274536","blue",-0.289676963679139,-0.135397777402943,"MIR223HG","lncRNA"
"ENSG00000182489.9","ENSG00000182489","yellow",0.329103229434658,0.375933572017245,"XKRX","protein_coding"
"ENSG00000213553.4","ENSG00000213553","pink",0.317396203162022,0.18034013077349,"RPLP0P6","processed_pseudogene"
"ENSG00000100628.12","ENSG00000100628","turquoise",-0.462022571087291,-0.553317435522147,"ASB2","protein_coding"
"ENSG00000250829.2","ENSG00000250829","yellow",0.146477538396734,0.113599947477574,"AC108865.1","lncRNA"
"ENSG00000174080.12","ENSG00000174080","turquoise",-0.161789673470043,-0.294963981257796,"CTSF","protein_coding"
"ENSG00000197140.15","ENSG00000197140","lightyellow",-0.0161514518511854,0.0568855456278036,"ADAM32","protein_coding"
"ENSG00000011600.12","ENSG00000011600","blue",-0.148604292709188,-0.194008893485657,"TYROBP","protein_coding"
"ENSG00000012223.13","ENSG00000012223","grey",-0.130895152309374,-0.200878615201373,"LTF","protein_coding"
"ENSG00000111701.7","ENSG00000111701","grey",0.10553593555629,0.0671994737022287,"APOBEC1","protein_coding"
"ENSG00000141433.13","ENSG00000141433","turquoise",-0.278488646624488,-0.267522842586081,"ADCYAP1","protein_coding"
"ENSG00000151338.18","ENSG00000151338","turquoise",-0.427368875792857,-0.351139576026311,"MIPOL1","protein_coding"
"ENSG00000235552.4","ENSG00000235552","darkred",-0.0985059031929882,-0.102500181259658,"RPL6P27","transcribed_processed_pseudogene"
"ENSG00000131018.24","ENSG00000131018","turquoise",-0.490199593429494,-0.354938319130042,"SYNE1","protein_coding"
"ENSG00000260725.1","ENSG00000260725","lightyellow",0.0848927472973471,0.131810052167391,"AC005307.1","lncRNA"
"ENSG00000058866.15","ENSG00000058866","grey",0.0777052943060096,0.00824139392547276,"DGKG","protein_coding"
"ENSG00000188677.15","ENSG00000188677","grey",0.134049831417658,0.123196763025612,"PARVB","protein_coding"
"ENSG00000165072.10","ENSG00000165072","turquoise",-0.670710141099918,-0.708307910625123,"MAMDC2","protein_coding"
"ENSG00000139193.4","ENSG00000139193","purple",-0.396118108623274,-0.422112522651713,"CD27","protein_coding"
"ENSG00000136859.10","ENSG00000136859","magenta",-0.0468650902279617,-0.0561776892053888,"ANGPTL2","protein_coding"
